Table,Abbreviation,Description,Module,Activity code,TablesMappedToModelOnly,TablesMappedToSubModel,linkedTablewithDescription,ListOfKeysWithDuplicate,ListOfKeysWithNoplicate,ListOfKeys
ABATHOR,ABH,Hourly constraints,Supervisor,,,,"ABATCAL  (Batch server calendar  ) , ABATHOR  (Hourly constraints  )",,COD(Constraint) +   ,COD(Constraint) +   
BID,BID,Bank ID statement,Supervisor,,Common data,"Company and Sites,Business Partner","TABCOUNTRY  (Country table  ) , TABCUR  (Currency table  )",__||__BPATYP(Entity type) +   BPANUM(Entity) +   BPAADD(Address) +   ,BPATYP(Entity type) +   BPANUM(Entity) +   BIDNUM(Bank acct. number) +   BPAADD(Address) +   __||__ ,BPATYP(Entity type) +   BPANUM(Entity) +   BIDNUM(Bank acct. number) +   BPAADD(Address) +    __||__   BPATYP(Entity type) +   BPANUM(Entity) +   BPAADD(Address) +   
ABATPAR,ABP,Batch server (parameters),Supervisor,,,,,,SPOOL(Search key) +   ,SPOOL(Search key) +   
ABATRQT,ABR,Batch server (queries),Supervisor,,,,"ABATABT  (Batch server (recurring tasks)  ) , ADOSSIER  (Folder table  ) , ABATGRP  (Batch server (groups)  ) , TABLAN  (Language table  ) , ABATTAC  (Batch server (tasks)  )",__||____||____||__,NUMREQ(Query no.) +   __||__ DAT(Date) +   HEURE(Time) +   NUMREQ(Query no.) +   __||__ FLAG(Status) +   NUMREQ(Query no.) +   __||__ FLAG(Status) +   DAT(Date) +   HEURE(Time) +   NUMREQ(Query no.) +   ,NUMREQ(Query no.) +    __||__   DAT(Date) +   HEURE(Time) +   NUMREQ(Query no.) +    __||__   FLAG(Status) +   NUMREQ(Query no.) +    __||__   FLAG(Status) +   DAT(Date) +   HEURE(Time) +   NUMREQ(Query no.) +   
BPADDRESS,BPA,Addresses,Supervisor,,"Common data,Customer relation","Company and Sites,Business Partner,Installed Base",TABCOUNTRY  (Country table  ),,BPATYP(Entity type) +   BPANUM(Entity) +   BPAADD(Address) +   ,BPATYP(Entity type) +   BPANUM(Entity) +   BPAADD(Address) +   
ABATRQT2,A11,Batch server (queries),Development,,,,,__||__,NUMREQ +   __||__ DAT +   HEURE +   NUMREQ +   ,NUMREQ +    __||__   DAT +   HEURE +   NUMREQ +   
ABATRQTL,ABL,Batch server (queries),Supervisor,,,,,,NUMREQ(Query no.) +   NUM(Number) +   PARAM(Parameter) +   ,NUMREQ(Query no.) +   NUM(Number) +   PARAM(Parameter) +   
COMPANY,CPY,Company,Supervisor,,"Accounting,Common data,Customer relation,Fixed assets,Sales","Accounting Entry,Accounting Entry By Lot,Accounting Data,Budgets,Company and Sites,Business Partner,Service contract,Fixed Asset,Quotation,Normal Sales Orders,Cumulative Sales Orders,Sales Deliveries,Sales Invoice,Sales Returns","TABCOUNTRY  (Country table  ) , ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , GACCCODE  (Accounting codes  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , GACM  (Account core model  ) , PBDECOCOD  (Economic reason code  ) , CONTACTCRM  (Contact relationships  ) , BPARTNER  (Business partner  ) , PRICSTRUCT  (Price structure (cust/supp)  ) , CAECOD  (  ) , SFOOTINV  (Invoicing elements  )",__||__LEG(Legislation) +   CPY(Company) +   ,CPY(Company) +   __||__ ,CPY(Company) +    __||__   LEG(Legislation) +   CPY(Company) +   
ABATTAC,ABT,Batch server (tasks),Supervisor,,,,"ADOSSIER  (Folder table  ) , ABATTAC  (Batch server (tasks)  ) , ABATHOR  (Hourly constraints  ) , AFONCTION  (Function dictionary  )",,CODTAC(Task code) +   ,CODTAC(Task code) +   
ABICOND,AII,Predefined conditions,Supervisor,ABI,,,"ABIDATMRT  (Datamart  ) , ACTIV  (Activity codes  ) , ABICOND  (Predefined conditions  ) , ABITABDAT  (Fact tables  ) , ABIDIM  (Dimensions  )",__||____||__,COD(Code) +   __||__ ORD(Order) +   COD(Code) +   __||__ ABM(Datamart) +   CODABF(Fact table) +   COD(Code) +   ,COD(Code) +    __||__   ORD(Order) +   COD(Code) +    __||__   ABM(Datamart) +   CODABF(Fact table) +   COD(Code) +   
CONTACTCRM,AIN,Contact relationships,Supervisor,,"Common data,Customer relation","Business Partner,Service request,Service contract,Service response,Installed Base,Customer relations 1,Customer relations 2","TABCOUNTRY  (Country table  ) , TABLAN  (Language table  ) , ATABDIV  (Miscellaneous tables  ) , CONTACTCRM  (Contact relationships  )",__||__CNTFULNAM(Search key) +   __||__,CNTNUM(Code) +   __||__ __||__ CNTTYP(Type) +   CNTNUM(Code) +   ,CNTNUM(Code) +    __||__   CNTFULNAM(Search key) +    __||__   CNTTYP(Type) +   CNTNUM(Code) +   
ABIDATMRT,ABM,Datamart,Supervisor,ABI,,,"AFONCTION  (Function dictionary  ) , ABIDATMRT  (Datamart  ) , ACTIV  (Activity codes  ) , ABITABDAT  (Fact tables  )",__||__ABR(Abbreviation) +   ,COD(Code) +   __||__ ,COD(Code) +    __||__   ABR(Abbreviation) +   
ABIDATWRH,ABW,Data warehouse,Supervisor,ABI,,,"TABLAN  (Language table  ) , ABIDATMRT  (Datamart  ) , ABIDATWRH  (Data warehouse  )",,COD(Code) +   ,COD(Code) +   
FACILITY,FCY,Sites,Supervisor,,"Accounting,Common data,Customer relation,Fixed assets,Manufacturing,Purchasing,Sales","Accounting Entry,Accounting Entry By Lot,Accounting Data,Budgets,Payment,Company and Sites,Item,Business Partner,Service request,Service contract,Service response,Installed Base,Marketing,Customer relations 1,Customer relations 2,Fixed Asset,Technical Data,Manufacturing Orders,Master Planning Schedule,Standard Cost Calculation,Purchase Requests,Request For Quotations,Normal Purchase Orders,Cumulative Purchase Orders,Purchase Receipts,Purchase Returns,Purchase Invoice,External Orders,Quotation,Normal Sales Orders,Cumulative Sales Orders,Sales Deliveries,Sales Invoice,Sales Returns","TABCOUNTRY  (Country table  ) , ATABDIV  (Miscellaneous tables  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , GACCCODE  (Accounting codes  ) , CACCE  (Dimensions  ) , WAREHOUSE  (Warehouses  ) , CONTACTCRM  (Contact relationships  ) , BANK  (Bank accounts  ) , TABUNAVAIL  (Unavailable periods  )",__||__,FCY(Site) +   __||__ LEGCPY(Legal company) +   FCY(Site) +   ,FCY(Site) +    __||__   LEGCPY(Legal company) +   FCY(Site) +   
ABIDIM,ABI,Dimensions,Supervisor,ABI,,,"ACTIV  (Activity codes  ) , ABIDIM  (Dimensions  ) , ATABLE  (Table dictionary  )",,CODDIM(Dimension) +   ,CODDIM(Dimension) +   
ABIDIMFLD,ABJ,Dimensions (fields),Supervisor,ABI,,,"ACTIV  (Activity codes  ) , ABIDIM  (Dimensions  ) , ATYPE  (Data types  ) , ATABTAB  (Miscellaneous table set-up  )",__||____||__FLDDIM(Field code) +   ,CODDIM(Dimension) +   NUMDIM(Line number) +   FLDDIM(Field code) +   __||__ CODDIM(Dimension) +   FLDDIM(Field code) +   __||__ ,CODDIM(Dimension) +   NUMDIM(Line number) +   FLDDIM(Field code) +    __||__   CODDIM(Dimension) +   FLDDIM(Field code) +    __||__   FLDDIM(Field code) +   
POSCOD,POS,Postal codes,Supervisor,,Common data,Common Tables,TABCOUNTRY  (Country table  ),__||__CRY(Country) +   POSCTY(City) +   POSCOD(Postal code) +   __||__CRY(Country) +   POSCTYSEA(City (search)) +   POSCOD(Postal code) +   ,CRY(Country) +   POSCOD(Postal code) +   POSCTY(City) +   POSCTYCOD(Municipality code) +   __||__ __||__ ,CRY(Country) +   POSCOD(Postal code) +   POSCTY(City) +   POSCTYCOD(Municipality code) +    __||__   CRY(Country) +   POSCTY(City) +   POSCOD(Postal code) +    __||__   CRY(Country) +   POSCTYSEA(City (search)) +   POSCOD(Postal code) +   
ABIHIERA,AHH,Hierarchies,Supervisor,ABI,,,"ABIDATMRT  (Datamart  ) , ACTIV  (Activity codes  ) , ABITABDAT  (Fact tables  ) , ABIDIM  (Dimensions  ) , ABIHIERA  (Hierarchies  )",__||__,COD(Code) +   __||__ ABM(Datamart) +   COD(Code) +   ,COD(Code) +    __||__   ABM(Datamart) +   COD(Code) +   
ABIPRFUSR,AIU,BI user profile,Supervisor,ABI,,,ABIPRFUSR  (BI user profile  ),,PRF(Profile code) +   ,PRF(Profile code) +   
TABCOUNTRY,TCY,Country table,Supervisor,,"Common data,Purchasing","Company and Sites,Business Partner,Common Tables,Purchase Returns","TABCOUNTRY  (Country table  ) , TABLAN  (Language table  ) , ATABDIV  (Miscellaneous tables  ) , AWINDOW  (Window dictionary  ) , TABCUR  (Currency table  )",,CRY(Country) +   ,CRY(Country) +   
ABIREGDES,ABY,Synchronization rules (dest),Supervisor,ABI,,,"ABITABDAT  (Fact tables  ) , ABIREGORG  (Synchronisation rules  )",__||____||__,CODREG(Rule) +   NUMDES(Line number) +   __||__ CODREG(Rule) +   FLDDES(Field) +   __||__ CODREG(Rule) +   TABDES(Destination table) +   NUMDES(Line number) +   ,CODREG(Rule) +   NUMDES(Line number) +    __||__   CODREG(Rule) +   FLDDES(Field) +    __||__   CODREG(Rule) +   TABDES(Destination table) +   NUMDES(Line number) +   
ABIREGORG,ABV,Synchronisation rules,Supervisor,ABI,,,"ACTIV  (Activity codes  ) , ATABLE  (Table dictionary  ) , ABIREGORG  (Synchronisation rules  )",__||__,CODREG(Rule) +   __||__ TABORG(Origin table) +   CODREG(Rule) +   ,CODREG(Rule) +    __||__   TABORG(Origin table) +   CODREG(Rule) +   
TABSUBDIV,ATU,Geographic subdivisions,Supervisor,,,,TABCOUNTRY  (Country table  ),,CRY(Country) +   TYP(Subdivision) +   COD(Code) +   ,CRY(Country) +   TYP(Subdivision) +   COD(Code) +   
ABIREPORT,ABO,Business objects reports,Supervisor,ABI,,,"TABLAN  (Language table  ) , ABIDATMRT  (Datamart  ) , ACTIV  (Activity codes  ) , ACCCOD  (Access codes  ) , ABIREPORT  (Business objects reports  )",__||____||__DATAM(Datamart) +   COD(Code) +   ,COD(Code) +   __||__ REPCOD(BO report) +   COD(Code) +   __||__ ,COD(Code) +    __||__   REPCOD(BO report) +   COD(Code) +    __||__   DATAM(Datamart) +   COD(Code) +   
ABIREPORTD,ABQ,Business objects reports,Supervisor,ABI,,,"ATYPE  (Data types  ) , ATABTAB  (Miscellaneous table set-up  ) , ACCCOD  (Access codes  ) , ABIREPORT  (Business objects reports  ) , ACTL  (Control tables  )",,COD(Code) +   LIG(Line) +   ,COD(Code) +   LIG(Line) +   
DCLCUSVATBE,DLCB,Annual customer listing,Financials,KBE,,,"TABCOUNTRY  (Country table  ) , TABCUR  (Currency table  ) , COMPANY  (Company  ) , BPARTNER  (Business partner  )",,CPY(Company) +   NUMRPT(Query no.) +   BPR(BP) +   EECNUM(EU VAT no.) +   ,CPY(Company) +   NUMRPT(Query no.) +   BPR(BP) +   EECNUM(EU VAT no.) +   
ABIREPORTID,ABOID,Business objects reports,Supervisor,ABI,,,"TABLAN  (Language table  ) , ABIDATWRH  (Data warehouse  ) , ABIREPORT  (Business objects reports  )",,COD(Code) +   DATAW(Data warehouse) +   LAN(Languages) +   ,COD(Code) +   DATAW(Data warehouse) +   LAN(Languages) +   
ABITABAGG,ABE,Fact table (aggregates),Supervisor,ABI,,,"ACTIV  (Activity codes  ) , ABITABDAT  (Fact tables  ) , ABIDIM  (Dimensions  )",__||__,CODABF(Fact tables) +   NUMAGG(Aggregate) +   CODAGG(Name) +   __||__ CODABF(Fact tables) +   CODAGG(Name) +   ,CODABF(Fact tables) +   NUMAGG(Aggregate) +   CODAGG(Name) +    __||__   CODABF(Fact tables) +   CODAGG(Name) +   
DCLEECVATBE,DLEB,EU VAT statement (header),Financials,KBE,,,"TABCOUNTRY  (Country table  ) , ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , COMPANY  (Company  ) , BPARTNER  (Business partner  )",,CPY(Company) +   NUMRPT(Query no.) +   BPR(BP) +   EECNUM(EU VAT no.) +   OPECOD(Operation code) +   ,CPY(Company) +   NUMRPT(Query no.) +   BPR(BP) +   EECNUM(EU VAT no.) +   OPECOD(Operation code) +   
ABITABDAT,ABF,Fact tables,Supervisor,ABI,,,"AFONCTION  (Function dictionary  ) , ACTIV  (Activity codes  ) , ABITABDAT  (Fact tables  )",,CODABF(Code) +   ,CODABF(Code) +   
ABITABFLD,ABZ,Fact table (fields),Supervisor,ABI,,,"ACTIV  (Activity codes  ) , ABITABDAT  (Fact tables  ) , ATYPE  (Data types  ) , ATABTAB  (Miscellaneous table set-up  )",__||____||__CODFLD(Field code) +   ,CODABF(Fact tables) +   NUMFLD(Line no.) +   CODFLD(Field code) +   __||__ CODABF(Fact tables) +   CODFLD(Field code) +   __||__ ,CODABF(Fact tables) +   NUMFLD(Line no.) +   CODFLD(Field code) +    __||__   CODABF(Fact tables) +   CODFLD(Field code) +    __||__   CODFLD(Field code) +   
DCLVATPORB,DVPB,VAT base information,Financials,KPO,,,"TABCOUNTRY  (Country table  ) , ATABDIV  (Miscellaneous tables  ) , BPARTNER  (Business partner  ) , TABVAT  (Tax code table  )",__||__DCLNUM(Declaration) +   DCLFLD(Declaration field) +   EECNUM(EU identification) +   __||__DCLNUM(Declaration) +   EECNUM(EU identification) +   __||__DCLNUM(Declaration) +   DCLFLD(Declaration field) +   EXPIMPVCR(Document no.) +   EECNUM(EU identification) +   ,DCLNUM(Declaration) +   RECTYP(Record type) +   NUM(Document no.) +   LIN(Line) +   DCLFLD(Declaration field) +   DCLPAG(Annex) +   __||__ __||__ __||__ ,DCLNUM(Declaration) +   RECTYP(Record type) +   NUM(Document no.) +   LIN(Line) +   DCLFLD(Declaration field) +   DCLPAG(Annex) +    __||__   DCLNUM(Declaration) +   DCLFLD(Declaration field) +   EECNUM(EU identification) +    __||__   DCLNUM(Declaration) +   EECNUM(EU identification) +    __||__   DCLNUM(Declaration) +   DCLFLD(Declaration field) +   EXPIMPVCR(Document no.) +   EECNUM(EU identification) +   
ABITABIND,ABX,Fact table (index),Supervisor,ABI,,,"ACTIV  (Activity codes  ) , ABITABDAT  (Fact tables  )",,CODABF(Fact tables) +   NUMIND(Line number) +   ,CODABF(Fact tables) +   NUMIND(Line number) +   
ABITABLNK,ABK,Fact table (links),Supervisor,ABI,,,"ABITABDAT  (Fact tables  ) , ABIDIM  (Dimensions  )",,CODABF(Fact tables) +   NUMLNK(Line number) +   ,CODABF(Fact tables) +   NUMLNK(Line number) +   
DCLVATPORL,DVPL,VAT declaration lines,Financials,KPO,,,"TABCOUNTRY  (Country table  ) , ATABDIV  (Miscellaneous tables  ) , BPARTNER  (Business partner  )",,DCLNUM(Declaration) +   LINTYP(Line type) +   LSTLIN(Line) +   ,DCLNUM(Declaration) +   LINTYP(Line type) +   LSTLIN(Line) +   
ABITRAUNV,ATV,Report translation,Supervisor,ABI,,,"TABLAN  (Language table  ) , ABIDATMRT  (Datamart  )",__||__,ABM(Datamart) +   RAPORT(Report) +   LANTRA(Translation language) +   TEXTE(Text) +   __||__ ABM(Datamart) +   RAPORT(Report) +   LANTRA(Translation language) +   TYPERR(Error) +   TEXTE(Text) +   ,ABM(Datamart) +   RAPORT(Report) +   LANTRA(Translation language) +   TEXTE(Text) +    __||__   ABM(Datamart) +   RAPORT(Report) +   LANTRA(Translation language) +   TYPERR(Error) +   TEXTE(Text) +   
ABLBSYS,ASB,Graphic components,Supervisor,,,,"ATABDIV  (Miscellaneous tables  ) , ABLBSYS  (Graphic components  )",,CAT(Category) +   CODFIC(Code) +   ,CAT(Category) +   CODFIC(Code) +   
DCLVATSPA,DVS,Tax working table (SPA),Financials,KSP,,,"TABCOUNTRY  (Country table  ) , ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , GTYPACCENT  (Document types  ) , TABVAT  (Tax code table  ) , TABVACBPR  (BP tax rule table  )",__||__CRN(Site tax ID no.) +   __||__EECNUM(EU identification) +   __||__TAXTYP(Tax type) +   DCLDAT(Declaration date) +   __||__INDLNK(Index link) +   __||__TAXTYP(Tax type) +   CRN(Site tax ID no.) +   TYP(Entry type) +   NUM(Document no.) +   __||__COD347(Code 347) +   CRN(Site tax ID no.) +   __||__ACCNUM(Internal number) +   ,TAXTYP(Tax type) +   TYP(Entry type) +   NUM(Document no.) +   VAT(Tax) +   REGTYP(Tax rule type) +   __||__ __||__ __||__ __||__ __||__ __||__ __||__ ,TAXTYP(Tax type) +   TYP(Entry type) +   NUM(Document no.) +   VAT(Tax) +   REGTYP(Tax rule type) +    __||__   CRN(Site tax ID no.) +    __||__   EECNUM(EU identification) +    __||__   TAXTYP(Tax type) +   DCLDAT(Declaration date) +    __||__   INDLNK(Index link) +    __||__   TAXTYP(Tax type) +   CRN(Site tax ID no.) +   TYP(Entry type) +   NUM(Document no.) +    __||__   COD347(Code 347) +   CRN(Site tax ID no.) +    __||__   ACCNUM(Internal number) +   
ABLOB,ABB,Special folders,Supervisor,,,,ATYPEPRO  (Content type  ),,CODBLB(Code) +   IDENT1(Identifier 1) +   IDENT2(Identifier 2) +   IDENT3(Identifier 3) +   ,CODBLB(Code) +   IDENT1(Identifier 1) +   IDENT2(Identifier 2) +   IDENT3(Identifier 3) +   
ACALCUL,AKL,Calculator history,Supervisor,,,,,,USR(Code) +   NUM(Sequence no.) +   ,USR(Code) +   NUM(Sequence no.) +   
ACCCOD,ACS,Access codes,Supervisor,,,,ACCCOD  (Access codes  ),,CODACC(Access code) +   ,CODACC(Access code) +   
PBDGEND,PBDGEND,Payment balance decl details,Financials,PBDCL,,,"TABCOUNTRY  (Country table  ) , ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , PBDECOCOD  (Economic reason code  ) , BPARTNER  (Business partner  )",,CODE(Code) +   LEG(Legislation) +   ISDETAIL(Detail) +   ISOITEM(Open item / payment) +   LINE(Line) +   ,CODE(Code) +   LEG(Legislation) +   ISDETAIL(Detail) +   ISOITEM(Open item / payment) +   LINE(Line) +   
ACCES,ACC,Access by user,Supervisor,,,,"ACCCOD  (Access codes  ) , AFCTFCT  (User function profile  )",USR(User code) +   CODACC(Access code) +   __||__,__||__ PRFCOD(Profile code) +   CODACC(Access code) +   USR(User code) +   ,USR(User code) +   CODACC(Access code) +    __||__   PRFCOD(Profile code) +   CODACC(Access code) +   USR(User code) +   
ACHANGE,ACG,Key change set up,Supervisor,,,,"ACHANGE  (Key change set up  ) , AOBJET  (Basic objects  )",,COD(Code) +   LIG(Line no.) +   ,COD(Code) +   LIG(Line no.) +   
ATABDIV,ADI,Miscellaneous tables,Supervisor,,"Accounting,Common data,Purchasing,Sales","Accounting Entry,Accounting Entry By Lot,Accounting Data,Payment,Item,Business Partner,Common Tables,Normal Purchase Orders,Cumulative Purchase Orders,Purchase Receipts,Purchase Returns,Purchase Invoice,Quotation,Normal Sales Orders,Cumulative Sales Orders,Sales Deliveries,Sales Invoice,Sales Returns","ATABTAB  (Miscellaneous table set-up  ) , ATABDIV  (Miscellaneous tables  ) , AGRPFCY  (Site groupings  )",,NUMTAB(Table number) +   CODE(Code) +   ,NUMTAB(Table number) +   CODE(Code) +   
ACLACOL,ACLAC,Classes (Collections),Supervisor,,,,"ACTIV  (Activity codes  ) , ACLASSE  (Classes  )",,CODCLA(Class code) +   CODCOL(Collection) +   ,CODCLA(Class code) +   CODCOL(Collection) +   
ACLAFLD,ACLAF,Classes (lines),Supervisor,,,,"ACTIV  (Activity codes  ) , ATABLE  (Table dictionary  ) , ATYPE  (Data types  ) , ACCCOD  (Access codes  ) , ACTL  (Control tables  ) , ATABDIV  (Miscellaneous tables  ) , ACLASSE  (Classes  )",__||____||__,CODCLA(Class code) +   FLDCLA(Field code) +   __||__ CODCLA(Class code) +   NUMLIG(Line no.) +   FLDCLA(Field code) +   __||__ CODCLA(Class code) +   NUMFLD(Order) +   NUMLIG(Line no.) +   FLDCLA(Field code) +   ,CODCLA(Class code) +   FLDCLA(Field code) +    __||__   CODCLA(Class code) +   NUMLIG(Line no.) +   FLDCLA(Field code) +    __||__   CODCLA(Class code) +   NUMFLD(Order) +   NUMLIG(Line no.) +   FLDCLA(Field code) +   
ACLALNK,ACLAK,Classes (tables),Supervisor,,,,"ACTIV  (Activity codes  ) , ATABLE  (Table dictionary  ) , ACLASSE  (Classes  )",__||__,CODCLA(Class code) +   REFLNK(Pointer) +   __||__ CODCLA(Class code) +   NUMLIG(Line no.) +   REFLNK(Pointer) +   ,CODCLA(Class code) +   REFLNK(Pointer) +    __||__   CODCLA(Class code) +   NUMLIG(Line no.) +   REFLNK(Pointer) +   
ACLAMAP,ACLAKP,Classes (mapping),Supervisor,,,,ACLASSE  (Classes  ),,CODCLA(Class code) +   REFLNK(Pointer) +   KEYMAP(Column) +   ,CODCLA(Class code) +   REFLNK(Pointer) +   KEYMAP(Column) +   
ACLAMET,ACLAM,Classes (methods),Supervisor,,,,"ACTIV  (Activity codes  ) , ACLASSE  (Classes  )",__||__,CODCLA(Class code) +   CODMET(Method code) +   __||__ CODCLA(Class code) +   NOMET(Method no.) +   CODMET(Method code) +   ,CODCLA(Class code) +   CODMET(Method code) +    __||__   CODCLA(Class code) +   NOMET(Method no.) +   CODMET(Method code) +   
ACLAMETSTD,ACLAT,Classes (standard methods),Supervisor,,,,"ACTIV  (Activity codes  ) , ACLASSE  (Classes  )",__||__,CODCLA(Class code) +   CODMETSTD(Method code) +   __||__ CODCLA(Class code) +   NOMETSTD(Method no.) +   CODMETSTD(Method code) +   ,CODCLA(Class code) +   CODMETSTD(Method code) +    __||__   CODCLA(Class code) +   NOMETSTD(Method no.) +   CODMETSTD(Method code) +   
PAYMENTH,PYH,Payment header,A/P-A/R accounting,,Accounting,Payment,"TABCOUNTRY  (Country table  ) , ACCCOD  (Access codes  ) , ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , PBDECOCOD  (Economic reason code  ) , BPARTNER  (Business partner  ) , BANK  (Bank accounts  ) , GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  ) , MANDATE  (Mandates  ) , TABPAM  (Payment mode table  ) , TABPAYTYP  (Payment types  )",__||__FRMFLG(Slip type) +   FRMNUM(Slip no.) +   FRMLIN(Summary line) +   __||____||____||__,NUM(Payment no.) +   __||__ __||__ PAYLOT(Batch code) +   PAYLOTLIG(Batch line) +   NUM(Payment no.) +   __||__ PAYTYP-NUM +   __||__ DUDDAT(Due date) +   NUM(Payment no.) +   ,NUM(Payment no.) +    __||__   FRMFLG(Slip type) +   FRMNUM(Slip no.) +   FRMLIN(Summary line) +    __||__   PAYLOT(Batch code) +   PAYLOTLIG(Batch line) +   NUM(Payment no.) +    __||__   PAYTYP-NUM +    __||__   DUDDAT(Due date) +   NUM(Payment no.) +   
ACLAOPT,ACLAO,Classes (options),Supervisor,,,,"ACTIV  (Activity codes  ) , ACLASSE  (Classes  )",,CODCLA(Class code) +   OPTCOD(Option code) +   ,CODCLA(Class code) +   OPTCOD(Option code) +   
ACLAPARDEF,ACLPD,Classes (parameters),Supervisor,,,,ACLASSE  (Classes  ),__||__CODCLA(Class code) +   CODE(Method code) +   NOPAR(Order) +   CODPAR(Parameter code) +   ,CODCLA(Class code) +   CODE(Method code) +   CODPAR(Parameter code) +   __||__ ,CODCLA(Class code) +   CODE(Method code) +   CODPAR(Parameter code) +    __||__   CODCLA(Class code) +   CODE(Method code) +   NOPAR(Order) +   CODPAR(Parameter code) +   
ACLAPARFLD,ACLFP,Classes (parameters),Supervisor,,,,ACLASSE  (Classes  ),__||__CODCLA(Class code) +   TYPPAR(Parameter type) +   TYPKEY(Keys) +   FLDCLA(Field code) +   NUMPAR(Number) +   ,CODCLA(Class code) +   TYPPAR(Parameter type) +   TYPKEY(Keys) +   FLDCLA(Field code) +   CODPAR(Parameter code) +   __||__ ,CODCLA(Class code) +   TYPPAR(Parameter type) +   TYPKEY(Keys) +   FLDCLA(Field code) +   CODPAR(Parameter code) +    __||__   CODCLA(Class code) +   TYPPAR(Parameter type) +   TYPKEY(Keys) +   FLDCLA(Field code) +   NUMPAR(Number) +   
RSLINESGER1,RSLG1,Recapitulative statement,A/P-A/R accounting,KDEAT,,,"TABCOUNTRY  (Country table  ) , TABVAT  (Tax code table  ) , REPLINDEF  (Report line definitions  )",USERID(User identity+ adxuid) +   __||__,__||__ USERID(User identity+ adxuid) +   GEREECNUM(EU VAT no.) +   TRNTYP(Turnover type) +   ,USERID(User identity+ adxuid) +    __||__   USERID(User identity+ adxuid) +   GEREECNUM(EU VAT no.) +   TRNTYP(Turnover type) +   
ACLASSE,ACLA,Classes,Supervisor,,,,"ACTIV  (Activity codes  ) , AOBJET  (Basic objects  ) , ACLASSE  (Classes  )",,CODCLA(Class code) +   ,CODCLA(Class code) +   
